Nummer,Datum,verwendbar?,URL,login url,HTML Element mit webauthn,Passkey/FedCm unterstützung,funktionale Eigenschaften,statische Eigenschaften,Bemerkung,thirdparty auth with passkeys
1,8. Juli 2025,ja,https://www.adobe.com/,https://auth.services.adobe.com/en_US/index.html?callback=https%3A%2F%2Fims-na1.adobelogin.com%2Fims%2Fadobeid%2Fhomepage_milo%2FAdobeID%2Ftoken%3Fredirect_uri%3Dhttps%253A%252F%252Fwww.adobe.com%252Fhome%2523old_hash%253D%2526from_ims%253Dtrue%253Fclient_id%253Dhomepage_milo%2526api%253Dauthorize%2526scope%253DAdobeID%252Copenid%252Cgnav%252Cpps.read%252Cfirefly_api%252Cadditional_info.roles%252Cread_organizations%252Caccount_cluster.read%26state%3D%257B%2522jslibver%2522%253A%2522v2-v0.47.0-15-gd6558d5%2522%252C%2522nonce%2522%253A%25221728820188406908%2522%257D%26code_challenge_method%3Dplain%26use_ms_for_expiry%3Dtrue&client_id=homepage_milo&scope=AdobeID%2Copenid%2Cgnav%2Cpps.read%2Cfirefly_api%2Cadditional_info.roles%2Cread_organizations%2Caccount_cluster.read&state=%7B%22jslibver%22%3A%22v2-v0.47.0-15-gd6558d5%22%2C%22nonce%22%3A%221728820188406908%22%7D&relay=9c5f6b65-982a-4e4f-a5f1-eb895f39b9c9&locale=en_US&flow_type=token&idp_flow_type=login&ab_test=epp-avoid-race-condition&s_p=google%2Cfacebook%2Capple%2Cmicrosoft%2Cline%2Ckakao&response_type=token&code_challenge_method=plain&redirect_uri=https%3A%2F%2Fwww.adobe.com%2Fhome%23old_hash%3D%26from_ims%3Dtrue%3Fclient_id%3Dhomepage_milo%26api%3Dauthorize%26scope%3DAdobeID%2Copenid%2Cgnav%2Cpps.read%2Cfirefly_api%2Cadditional_info.roles%2Cread_organizations%2Caccount_cluster.read&use_ms_for_expiry=true#/,"<input aria-label=""E-Mail-Adresse"" id=""EmailPage-EmailField"" data-id=""EmailPage-EmailField"" aria-describedby=""EmailPage-EmailField-Error"" type=""email"" autocomplete=""email webauthn"" name=""username"" tabindex=""0"" class=""zo2IKa_spectrum-Textfield-input zo2IKa_i18nFontFamily"" value="""">",Passkey,"autocomplete = webauthn, get methode, methode vor login","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden"," ","apple, google"
2,8. Juli 2025,ja,https://afasonline.nl/,https://idp.afasonline.com/Account/Login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Db994b965-f850-4dbe-b444-bd7666d6efbf%26response_type%3Dcode%26scope%3Dopenid%2520email%2520offline_access%26redirect_uri%3Dhttps%253A%252F%252Fsts.afasonline.com%252Fsignin-oidc%26state%3DQ2ZESjhLcmhXSmJ4VkJaT2hiUkpDQzd1RDVDeG04ckEzdzlBM2swQ0dHelJVM0NzZU9GUV9MdWh3OFlOQUtISExDQldoM2tLNmN0bE1jODJaVmtwTFFqZkd0a1FmbHVGMTlvajR5VGZRMEwzR2wxV0F1S19QV2xvbmE3anlEc3R0b0YteXN3cXVRSXlMX2hDZlpDYXNIQ19oQjFPT1RXWmVZNHQ3czFZX3FuekxDWldMbEdRVHVsZ0RXck8tYlR4S0NKejFMQ2FReFJ5U1p0aTNUVktINnJQTENnV3RHTVBuMHh4UldzNEpqWlpTVW1tU2MtU3V4T3NRS0hUbFoxbFpXZ0NRYjlFd2pXNHJqMkJyT0J2OUswdGhpNVNIUzNGWXlOMDVYX2RabkV5ZF9zTA%253D%253D%26nonce%3Da4e97df9d4e7aae3f6497fb6bad2b3592b9d59e952e175f0281818081a208b6a%26response_mode%3Dquery%26ui_locales%3Den%26code_challenge%3D_5xi1kd7pM_EuFBnnD39LgH9_-7LU94J_jL3qKZ7feY%26code_challenge_method%3DS256,"<div class=""navigation navigation--passkey"">

<button type=""button"" class=""aol-button aol-button--passkey aol-button--loader"" id=""btnLoginPasskey"" disabled="""">
<img alt=""passkey icon"" class=""aol-button__icon"" src=""/images/fido-passkey-green.svg"">
<span>
Log in with a passkey
</span>
<div id=""passkeyLoader"" class=""aol-button__passkey aol-button__passkey--is-loading"">
</div>
</button>
<button type=""submit"" class=""aol-button aol-button--login"" id=""btnSubmit"">Next</button>
</div>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.get vorhanden, navigator.credentials.get({publicKey:) vorhanden",,
3,8. Juli 2025,ja,https://www.affirm.com/,"https://www.affirm.com/user/signinclass=""pro15nvvlzw pro1gW6XTZL”","<div class=""pro15nvvlzw pro1gW6XTZL""><button type=""button"" class=""pro35Wfly4z pro1q038Fah pro3in0Ehxy pro1d6rsoMQ pro3YXVXwZ7 pro1Nzq7fDb pro2m4F1oqq"" data-emphasis=""secondary"" data-testid=""passkey-signin""><svg viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"" role=""img"" aria-hidden=""true"" class=""pro2quhbvA8 provVFnYMwl pro2N_sPuP9"" height=""24px"" width=""24px"" style=""--fill: #101820;""><path fill-rule=""evenodd"" clip-rule=""evenodd"" d=""M20.53 1.47a.75.75 0 010 1.06l-.47.47 2.47 2.47a.75.75 0 010 1.06l-3.5 3.5a.75.75 0 01-.677.205l-4.607-.92-1.466 1.465a6.75 6.75 0 11-1.289-.833L12.97 7.97l5.5-5.5 1-1a.75.75 0 011.06 0zm-5.509 6.57l3.232.646L20.94 6 19 4.06l-3.979 3.98zM8 10.75a5.25 5.25 0 100 10.5 5.25 5.25 0 000-10.5z"" fill=""var(--fill)""></path></svg>Log in with passkey</button></div>",Passkey,"get methode, methode vor login, passkey button",navigator.credentials.get vorhanden,,
4,8. Juli 2025,ja,https://airnewzealand.co.nz/,https://identity.airnewzealand.com/customerairnz.onmicrosoft.com/b2c_1a_airnz_susi/oauth2/v2.0/authorize?client_id=ca26a955-b1c6-434c-9e44-a12ca9158158&scope=offline_access%20openid%20profile%20https%3A%2F%2Fcustomerairnz.onmicrosoft.com%2Fairpoints%2Fairpoints.accountdetails.read.my&redirect_uri=https%3A%2F%2Fwww.airnewzealand.co.nz%2Fidentityreturn&client-request-id=7ac0e1de-e75c-496d-86ea-80f69d7f4448&response_mode=fragment&response_type=code&x-client-SKU=msal.js.browser&x-client-VER=2.39.0&client_info=1&code_challenge=JVhzC8Ex8NSCLKI5yBcOaNS2HM64wENZ4M5EbEhyrew&code_challenge_method=S256&nonce=c85c4e77-6601-447d-b47a-07d3c69cd790&state=eyJpZCI6IjJlZDk0YzYyLWZjOTEtNDc5My04OTE3LTE5MDVmZmFmZDU3YSIsIm1ldGEiOnsiaW50ZXJhY3Rpb25UeXBlIjoicmVkaXJlY3QifX0%3D%7Chttps%3A%2F%2Fwww.airnewzealand.co.nz%2F,"<input type=""text"" id=""signInName"" name=""Airpoints™ number / username"" title=""Please enter a valid Airpoints™ number / username"" placeholder=""Airpoints™ number / username"" aria-label=""Airpoints™ number / username"" autocomplete=""username webauthn"">",Passkey,"autocomplete = webauthn, get methode, methode vor login","Conditional UI, navigator.credentials.get vorhanden, one line js",,
5,8. Juli 2025,ja,https://www.ah.nl/,https://login.ah.nl/login,"<button class=""button_button__dZRSb style_button__xUNh6"" id=""passkey"" name=""passkey"" type=""button""><svg role=""img"" aria-label=""passkey"" style=""width:24px;height:24px""><use href=""/login/static/icons.svg#passkey"" style=""fill:var(--primary-color)""></use></svg>Log in met een Passkey</button>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.get vorhanden, one line js",modal mit nachricht nicht mehr anzeigen kommt,
6,8. Juli 2025,ja,https://forums.ankiweb.net/,https://forums.ankiweb.net/login,"<span class=""d-button-label"">Log in with a passkey<!----></span>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.get vorhanden, navigator.credentials.get({publicKey:) vorhanden, obfuscated js",,
7,8. Juli 2025,ja,https://www.arbeitsagentur.de/,https://sso.arbeitsagentur.de/auth/realms/OCP/login-actions/authenticate?execution=ba-username-password-form&client_id=profil-online&tab_id=utA_i8D7aHI&client_data=eyJydSI6Imh0dHBzOi8vd2ViLmFyYmVpdHNhZ2VudHVyLmRlL3Byb2ZpbC9wcm9maWwtdWkvcGQvIiwicnQiOiJjb2RlIiwic3QiOiI1NzRhYzZiYmNhMWU0ZGNkODg4OGNkMTk4NDk5MzdmZSJ9,"<button type=""button"" id=""passkey-btn"" onclick=""{passkeyJs.clickPasskeyButton(event)}"" class=""ba-btn ba-btn-block ba-btn-icon ba-icon-key"">
Mit Passkey anmelden
</button> <input id=""benutzername-input"" name=""username"" autocomplete=""username webauthn"" onkeyup=""{formLogic.onKeyUpUsername(event)}"" class=""form-control "" type=""text"" maxlength=""254"" required="""" value="""" aria-describedby=""eingabe-email-fehler"">",Passkey,"autocomplete = webauthn, get methode, methode vor login, passkey button","Conditional UI, navigator.credentials.get vorhanden, navigator.credentials.get({publicKey:) vorhanden",,
8,8. Juli 2025,ja,https://app.arpari.com/login,https://app.arpari.com/login,"<input type=""text"" class=""input psg-input"" part=""input"" autocomplete=""email webauthn"" inputmode=""email"" id=""identifier"" mailto:placeholder=%22example@email.com"" data-testid=""identifier-input"">",Passkey,"autocomplete = webauthn, get methode, methode vor login","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden, navigator.credentials.get({publicKey:) vorhanden, obfuscated js",signup seite nutzt passkeys direkt nach eingabe der mail,
9,8. Juli 2025,ja,https://www.authgear.com/,https://accounts.portal.authgear.com/signup?client_id=portal&redirect_uri=https%3A%2F%2Fportal.authgear.com%2Foauth-redirect&state=eyJvcmlnaW5hbFBhdGgiOiIvP19nbD0xKjd1NnU3YypfZ2NsX2F1Kk9Ua3lOelUzTkRNMkxqRTNOVEU1T0RJME56SS4ifQ%3D%3D&x_settings_action_id=,"<button class=""secondary-btn w-full"" type=""button"" data-action=""click->authflow-passkey-request#use"" data-authgear-event=""authgear.button.use_passkey"" data-authflow-passkey-request-target=""button"">
<div class=""secondary-btn__alternative-option-content--no-badge"">
<i class=""secondary-btn__icon--material material-icons"">
passkey
</i>
<span>
Continue with Passkey
</span>
</div>

</button>",Passkey,"get methode, methode vor login, passkey button","navigator.credentials.create vorhanden, navigator.credentials.get vorhanden",gut dokumentierter code,"github, google"
10,8. Juli 2025,ja,https://www.authsignal.com/,https://portal.authsignal.com/users/sign_in,"<input class=""w-full rounded p-3 focus:border-indigo-500 focus:ring-indigo-500 border-gray-300 shadow-sm border-[1px] dark:bg-ash-500 dark:border-ash-500 dark:text-ash-50"" name=""username"" autocomplete=""username webauthn"" id="":r0:-form-item"" aria-describedby="":r0:-form-item-description"" aria-invalid=""false"" value="""">       <button class=""focus-visible:ring-ring relative inline-flex w-full items-center justify-center gap-2 rounded text-base font-medium transition focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-offset-2 bg-ash-500 hover:bg-ash-900 border-ash-500 hover:border-ash-900 disabled:hover:bg-ash-500 disabled:hover:border-ash-500 border text-white disabled:opacity-50 px-6 py-3 dark:bg-social-purple dark:hover:bg-social-purple/80 dark:disabled:bg-social-purple/80 dark:disabled:hover:bg-social-purple/80 dark:text-black"" type=""button"">Log in with a passkey <svg class=""size-8"" xml:space=""preserve"" viewBox=""0 0 216 216"" aria-hidden=""true""><style>.st1{fill-rule:evenodd;clip-rule:evenodd;fill:currentColor}</style><g id=""Isolation_Mode""><path d=""M0 0h216v216H0z"" style=""fill: none;""></path><path d=""M172.32 96.79c0 13.78-8.48 25.5-20.29 29.78l7.14 11.83-10.57 13 10.57 12.71-17.04 22.87-12.01-12.82V125.7c-10.68-4.85-18.15-15.97-18.15-28.91 0-17.4 13.51-31.51 30.18-31.51 16.66 0 30.17 14.11 30.17 31.51zm-30.18 4.82c4.02 0 7.28-3.4 7.28-7.6 0-4.2-3.26-7.61-7.28-7.61s-7.28 3.4-7.28 7.61c-.01 4.2 3.26 7.6 7.28 7.6z"" class=""st1""></path><path d=""M172.41 96.88c0 13.62-8.25 25.23-19.83 29.67l6.58 11.84-9.73 13 9.73 12.71-17.03 23.05v-85.54c4.02 0 7.28-3.41 7.28-7.6 0-4.2-3.26-7.61-7.28-7.61V65.28c16.73 0 30.28 14.15 30.28 31.6z"" style=""fill-rule: evenodd; clip-rule: evenodd; fill: currentcolor;""></path><path d=""M120.24 131.43c-9.75-8-16.3-20.3-17.2-34.27H50.8c-10.96 0-19.84 9.01-19.84 20.13v25.17c0 5.56 4.44 10.07 9.92 10.07h69.44c5.48 0 9.92-4.51 9.92-10.07v-11.03z"" class=""st1""></path><path d=""M73.16 91.13c-2.42-.46-4.82-.89-7.11-1.86-8.65-3.63-13.69-10.32-15.32-19.77-1.12-6.47-.59-12.87 2.03-18.92 3.72-8.6 10.39-13.26 19.15-14.84 5.24-.94 10.46-.73 15.5 1.15 7.59 2.82 12.68 8.26 15.03 16.24 2.38 8.05 2.03 16.1-1.56 23.72-3.72 7.96-10.21 12.23-18.42 13.9-.68.14-1.37.27-2.05.41-2.41-.03-4.83-.03-7.25-.03z"" style=""fill: currentcolor;""></path></g></svg></button>",Passkey,"autocomplete = webauthn, get methode, methode vor login, passkey button","Conditional UI, navigator.credentials.create vorhanden, navigator.credentials.get vorhanden",,
